Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,14,Sep 2 - Sep 14,7.9,6.9,8.9,6.9 - 8.9,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,14,Sep 2 - Sep 14,9.5,9.1,9.9,9.1 - 9.9,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,14,Sep 2 - Sep 14,9.5,8,11.1,8.0 - 11.1,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,14,Sep 2 - Sep 14,5.3,4.2,6.6,4.2 - 6.6,,
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,14,Sep 2 - Sep 14,11.6,9.5,14,9.5 - 14.0,,
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,14,Sep 2 - Sep 14,7.2,5.6,9,5.6 - 9.0,,
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,2,14,Sep 2 - Sep 14,6.7,5.9,7.7,5.9 - 7.7,,
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,14,Sep 2 - Sep 14,9.4,8.8,10.1,8.8 - 10.1,,
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,14,Sep 2 - Sep 14,11.3,10.9,11.7,10.9 - 11.7,,
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,14,Sep 2 - Sep 14,6.9,5.1,9,5.1 - 9.0,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,2,14,Sep 2 - Sep 14,8.2,6.5,10.2,6.5 - 10.2,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,2,14,Sep 2 - Sep 14,10.1,8,12.5,8.0 - 12.5,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,2,14,Sep 2 - Sep 14,6.4,4.8,8.3,4.8 - 8.3,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,14,Sep 2 - Sep 14,8.9,8,9.9,8.0 - 9.9,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,14,Sep 2 - Sep 14,9.5,8.2,10.9,8.2 - 10.9,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,14,Sep 2 - Sep 14,12,9.6,14.7,9.6 - 14.7,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,14,Sep 2 - Sep 14,9.3,6.5,12.8,6.5 - 12.8,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,14,Sep 2 - Sep 14,17,12.9,21.7,12.9 - 21.7,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,14,Sep 2 - Sep 14,7.7,6,9.8,6.0 - 9.8,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,14,Sep 2 - Sep 14,9.3,7.5,11.4,7.5 - 11.4,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,14,Sep 2 - Sep 14,5.3,3.8,7.1,3.8 - 7.1,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,14,Sep 2 - Sep 14,8.8,7,10.9,7.0 - 10.9,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,14,Sep 2 - Sep 14,9.8,8.1,11.8,8.1 - 11.8,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,14,Sep 2 - Sep 14,6.7,4.8,9.2,4.8 - 9.2,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,14,Sep 2 - Sep 14,7.6,6,9.3,6.0 - 9.3,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,2,14,Sep 2 - Sep 14,6.8,5.4,8.4,5.4 - 8.4,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,2,14,Sep 2 - Sep 14,10.1,7.4,13.6,7.4 - 13.6,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,2,14,Sep 2 - Sep 14,7.7,5.6,10.3,5.6 - 10.3,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,2,14,Sep 2 - Sep 14,10.1,7.6,13,7.6 - 13.0,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,2,14,Sep 2 - Sep 14,9.6,8.2,11.2,8.2 - 11.2,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,14,Sep 2 - Sep 14,14.5,12.4,16.8,12.4 - 16.8,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,2,14,Sep 2 - Sep 14,9.3,7.2,11.7,7.2 - 11.7,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,2,14,Sep 2 - Sep 14,9.3,7.7,11.3,7.7 - 11.3,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,2,14,Sep 2 - Sep 14,5.6,4.2,7.4,4.2 - 7.4,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,2,14,Sep 2 - Sep 14,8.1,5.9,10.9,5.9 - 10.9,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,2,14,Sep 2 - Sep 14,10.5,8,13.4,8.0 - 13.4,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,2,14,Sep 2 - Sep 14,6.7,5.2,8.4,5.2 - 8.4,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,2,14,Sep 2 - Sep 14,7.8,5.5,10.7,5.5 - 10.7,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,14,Sep 2 - Sep 14,9.6,7.7,11.8,7.7 - 11.8,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,2,14,Sep 2 - Sep 14,8.8,6.8,11.1,6.8 - 11.1,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,2,14,Sep 2 - Sep 14,8.5,6.6,10.7,6.6 - 10.7,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,2,14,Sep 2 - Sep 14,12,9.3,15.1,9.3 - 15.1,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,2,14,Sep 2 - Sep 14,7.6,5.3,10.5,5.3 - 10.5,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,2,14,Sep 2 - Sep 14,5.9,4.1,8.1,4.1 - 8.1,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,2,14,Sep 2 - Sep 14,7.7,6.1,9.5,6.1 - 9.5,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,14,Sep 2 - Sep 14,8.2,6.1,10.6,6.1 - 10.6,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,14,Sep 2 - Sep 14,10.4,9,11.9,9.0 - 11.9,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,14,Sep 2 - Sep 14,8.6,7,10.5,7.0 - 10.5,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,14,Sep 2 - Sep 14,12.5,9.6,15.9,9.6 - 15.9,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,14,Sep 2 - Sep 14,9,6.6,11.9,6.6 - 11.9,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,14,Sep 2 - Sep 14,5.4,4,7.2,4.0 - 7.2,5.3-7.7,
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,14,Sep 2 - Sep 14,8.1,6.4,10,6.4 - 10.0,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,14,Sep 2 - Sep 14,9.2,7.7,10.9,7.7 - 10.9,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,14,Sep 2 - Sep 14,9,7.6,10.6,7.6 - 10.6,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,14,Sep 2 - Sep 14,12.3,9.4,15.6,9.4 - 15.6,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,14,Sep 2 - Sep 14,10.6,8.6,12.9,8.6 - 12.9,10.0-17.0,
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,14,Sep 2 - Sep 14,9.9,8.6,11.5,8.6 - 11.5,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,14,Sep 2 - Sep 14,9.5,6.9,12.5,6.9 - 12.5,9.0-9.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,14,Sep 2 - Sep 14,8.6,6.4,11.2,6.4 - 11.2,7.8-8.9,
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,14,Sep 2 - Sep 14,8.7,6.2,12,6.2 - 12.0,7.8-8.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,14,Sep 2 - Sep 14,22.8,22.2,23.4,22.2 - 23.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,14,Sep 2 - Sep 14,23.1,21.8,24.4,21.8 - 24.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,14,Sep 2 - Sep 14,24.3,23.1,25.5,23.1 - 25.5,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,14,Sep 2 - Sep 14,23.8,22.6,25,22.6 - 25.0,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,14,Sep 2 - Sep 14,23.5,22.3,24.7,22.3 - 24.7,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,14,Sep 2 - Sep 14,22.7,21.7,23.6,21.7 - 23.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,14,Sep 2 - Sep 14,19.3,17.6,21.1,17.6 - 21.1,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,14,Sep 2 - Sep 14,13.8,10.1,18.3,10.1 - 18.3,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,2,14,Sep 2 - Sep 14,17.4,16.6,18.1,16.6 - 18.1,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,2,14,Sep 2 - Sep 14,27.8,27,28.6,27.0 - 28.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,14,Sep 2 - Sep 14,14.3,13.6,14.9,13.6 - 14.9,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,14,Sep 2 - Sep 14,37.9,37,38.9,37.0 - 38.9,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,14,Sep 2 - Sep 14,18.8,17.3,20.4,17.3 - 20.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,14,Sep 2 - Sep 14,25.2,24.7,25.8,24.7 - 25.8,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,14,Sep 2 - Sep 14,18.4,16.6,20.3,16.6 - 20.3,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,14,Sep 2 - Sep 14,10.3,9,11.6,9.0 - 11.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,14,Sep 2 - Sep 14,26.4,23.3,29.8,23.3 - 29.8,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,14,Sep 2 - Sep 14,18.9,16.4,21.6,16.4 - 21.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,2,14,Sep 2 - Sep 14,20.7,19.3,22.2,19.3 - 22.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,14,Sep 2 - Sep 14,24.6,23.7,25.5,23.7 - 25.5,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,14,Sep 2 - Sep 14,23.8,23.3,24.4,23.3 - 24.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,14,Sep 2 - Sep 14,22.7,19.7,25.9,19.7 - 25.9,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,2,14,Sep 2 - Sep 14,19,16.2,22,16.2 - 22.0,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,2,14,Sep 2 - Sep 14,22.7,20.2,25.3,20.2 - 25.3,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,2,14,Sep 2 - Sep 14,27.5,23.6,31.7,23.6 - 31.7,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,14,Sep 2 - Sep 14,19.6,18.2,21,18.2 - 21.0,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,14,Sep 2 - Sep 14,21.7,19.4,24,19.4 - 24.0,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,14,Sep 2 - Sep 14,24.4,21.1,27.9,21.1 - 27.9,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,14,Sep 2 - Sep 14,25.4,21.6,29.5,21.6 - 29.5,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,14,Sep 2 - Sep 14,28.2,22.8,34.2,22.8 - 34.2,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,14,Sep 2 - Sep 14,20,17.6,22.6,17.6 - 22.6,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,14,Sep 2 - Sep 14,23.2,20.5,26.1,20.5 - 26.1,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,14,Sep 2 - Sep 14,13.3,9.8,17.5,9.8 - 17.5,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,14,Sep 2 - Sep 14,25.6,21.8,29.7,21.8 - 29.7,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,14,Sep 2 - Sep 14,22.4,20,24.9,20.0 - 24.9,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,14,Sep 2 - Sep 14,25.2,21.5,29.1,21.5 - 29.1,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,14,Sep 2 - Sep 14,24.7,21.9,27.6,21.9 - 27.6,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,2,14,Sep 2 - Sep 14,24.2,20.8,27.7,20.8 - 27.7,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,2,14,Sep 2 - Sep 14,28.2,24.1,32.6,24.1 - 32.6,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,2,14,Sep 2 - Sep 14,25.2,21.6,29.2,21.6 - 29.2,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,2,14,Sep 2 - Sep 14,33,27.5,38.8,27.5 - 38.8,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,2,14,Sep 2 - Sep 14,20.4,18,23,18.0 - 23.0,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,14,Sep 2 - Sep 14,27.7,24.7,30.9,24.7 - 30.9,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,2,14,Sep 2 - Sep 14,25.5,21.6,29.8,21.6 - 29.8,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,2,14,Sep 2 - Sep 14,26.1,23,29.3,23.0 - 29.3,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,2,14,Sep 2 - Sep 14,24.9,22,28,22.0 - 28.0,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,2,14,Sep 2 - Sep 14,24.4,21.3,27.6,21.3 - 27.6,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,2,14,Sep 2 - Sep 14,26.3,23.3,29.5,23.3 - 29.5,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,2,14,Sep 2 - Sep 14,23.2,20.8,25.8,20.8 - 25.8,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,2,14,Sep 2 - Sep 14,18,14.9,21.4,14.9 - 21.4,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,14,Sep 2 - Sep 14,25.4,22.5,28.5,22.5 - 28.5,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,2,14,Sep 2 - Sep 14,20.6,17.5,24,17.5 - 24.0,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,2,14,Sep 2 - Sep 14,22.2,19.6,25,19.6 - 25.0,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,2,14,Sep 2 - Sep 14,22.1,18.8,25.7,18.8 - 25.7,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,2,14,Sep 2 - Sep 14,24.1,20.4,28,20.4 - 28.0,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,2,14,Sep 2 - Sep 14,16.5,13.8,19.4,13.8 - 19.4,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,2,14,Sep 2 - Sep 14,23.8,20.5,27.5,20.5 - 27.5,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,14,Sep 2 - Sep 14,25.1,21.7,28.7,21.7 - 28.7,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,14,Sep 2 - Sep 14,25.2,23.2,27.2,23.2 - 27.2,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,14,Sep 2 - Sep 14,23.1,20.4,25.9,20.4 - 25.9,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,14,Sep 2 - Sep 14,26.2,22.6,30.1,22.6 - 30.1,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,14,Sep 2 - Sep 14,25.2,21.3,29.4,21.3 - 29.4,24.3-25.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,14,Sep 2 - Sep 14,22.2,18.6,26.1,18.6 - 26.1,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,14,Sep 2 - Sep 14,22.4,19.8,25.2,19.8 - 25.2,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,14,Sep 2 - Sep 14,21.4,19.4,23.4,19.4 - 23.4,13.3-22.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,14,Sep 2 - Sep 14,26,23.4,28.7,23.4 - 28.7,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,14,Sep 2 - Sep 14,27.2,23.3,31.5,23.3 - 31.5,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,14,Sep 2 - Sep 14,22.6,19.6,25.7,19.6 - 25.7,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,14,Sep 2 - Sep 14,23.1,21.3,25,21.3 - 25.0,22.3-24.2,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,14,Sep 2 - Sep 14,28.7,24.6,33.1,24.6 - 33.1,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,14,Sep 2 - Sep 14,26.9,23.5,30.4,23.5 - 30.4,25.7-33.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,14,Sep 2 - Sep 14,21.4,17.9,25.3,17.9 - 25.3,13.3-22.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,2,14,Sep 2 - Sep 14,9.7,9.4,10,9.4 - 10.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,14,Sep 2 - Sep 14,15.9,14.5,17.3,14.5 - 17.3,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,14,Sep 2 - Sep 14,13.8,12.8,15,12.8 - 15.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,14,Sep 2 - Sep 14,11.2,10.2,12.3,10.2 - 12.3,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,14,Sep 2 - Sep 14,7.6,7,8.3,7.0 - 8.3,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,14,Sep 2 - Sep 14,5.3,4.8,5.9,4.8 - 5.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,14,Sep 2 - Sep 14,3.3,2.7,4,2.7 - 4.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,2,14,Sep 2 - Sep 14,3.5,2.2,5.2,2.2 - 5.2,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Gender,United States,Male,2,14,Sep 2 - Sep 14,6.9,6.4,7.3,6.4 - 7.3,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Gender,United States,Female,2,14,Sep 2 - Sep 14,12.3,11.7,12.8,11.7 - 12.8,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,14,Sep 2 - Sep 14,2.9,2.6,3.2,2.6 - 3.2,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,14,Sep 2 - Sep 14,21.7,21,22.4,21.0 - 22.4,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,14,Sep 2 - Sep 14,9.9,8.9,10.9,8.9 - 10.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,14,Sep 2 - Sep 14,9.5,9.1,9.8,9.1 - 9.8,,
